order_created_date,sum
20180501,302867978.39000374
20180508,285611691.47000283
20180210,374808373.00000495
20180219,252764507.4300014
20180408,350701358.81000394
20180511,274604026.8399993
20180820,243775655.3450024
20180415,401879585.50500697
20180424,287565678.42000365
20180426,239781147.800001
20180609,369216945.8250054
20180802,270327887.6500044
20180810,407024287.4000123
20180828,424488681.54000765
20180429,327337419.4500031
20180808,196713827.5549987
20180321,309202278.82000357
20180407,288026142.1700018
20180809,811632630.9199775
20180827,257508460.22000307
20180509,272334263.1600021
20180830,292063323.03000504
20180305,253832932.1100015
20180818,251665861.21000245
20180724,258048687.51000535
20180801,284284123.7600053
20180621,1338003519.288175
20180727,1108521504.1349456
20180330,264750788.2400003
20180709,279604077.5300038
20180227,244226035.49000037
20180404,367705992.14000535
20180414,332596260.5500021
20180520,322535846.79000324
20180531,299169553.2000027
20180603,370697645.19000417
20180615,267906348.46000245
20180207,297261075.9850021
20180208,295025977.9400024
20180209,274437578.59000224
20180427,287082949.25500053
20180518,247025543.98000064
20180703,276598634.2100042
20180228,274287718.92000145
20180308,446751505.40001255
20180813,298018624.0500041
20180815,506389787.9750164
20180205,259532047.3700016
20180212,313946029.2100027
20180409,258790648.02000135
20180507,250021170.28000087
20180717,356172889.2000092
20180722,339893920.81000817
20180213,328828184.60000384
20180322,311140746.35000306
20180326,254747000.1300009
20180623,1489833980.4447768
20180624,1273302424.05982
20180718,382724479.82001185
20180812,645917435.820013
20180223,275876758.6600033
20180901,283870273.8200048
20180419,271907586.09000164
20180517,261354566.6200011
20180705,272613288.76000357
20180716,597669207.7900183
20180306,260913989.5800018
20180412,276699223.2950026
20180423,265218754.20500168
20180811,503459915.34001774
20180215,251899255.19000128
20180526,324147416.70000213
20180528,302487200.2100017
20180611,296338048.9200027
20180614,292987935.43000233
20180622,2754105750.794976
20180204,311671405.4000034
20180422,351577535.9550062
20180612,306616838.2200035
20180618,226547063.88000032
20180819,291745587.6416717
20180410,310485883.6800055
20180707,318074722.9550059
20180823,257195744.08500323
20180421,298376006.61000293
20180505,298925729.10000265
20180625,1428016641.9197989
20180714,629371232.9800186
20180616,260251155.9900014
20180826,342555952.3400091
20180521,251267514.8500009
20180613,315926899.64000416
20180723,264601291.7800047
20180816,244034704.15000233
20180601,293885219.3350029
20180712,174012165.73999873
20180302,267484318.86000153
20180309,254416417.91500136
20180325,374386730.0600025
20180503,269870232.7400022
20180602,320685671.49500275
20180626,312507691.20500773
20180628,277408315.2700043
20180715,726540219.9599904
20180817,240115776.29500252
20180825,304214518.4550044
20180610,378061959.31000584
20180222,440049492.4300121
20180402,364049752.8350042
20180720,245312467.3600034
20180822,314933965.75500417
20180226,226300539.63500053
20180401,485345677.395008
20180411,284009167.7200032
20180502,297261826.9300035
20180504,259555662.0800016
20180604,328762850.4800028
20180312,268473440.5400013
20180608,327067728.73000264
20180804,295106240.9750042
20180218,323562816.9900041
20180313,255861236.0200006
20180403,399510392.6000069
20180605,333610331.06000465
20180708,371131679.3350094
20180726,533466313.91001433
20180803,239346459.9800026
20180320,262201578.86000097
20180510,262533349.63000187
20180617,267101143.33000192
20180814,376381965.19500846
20180824,254527463.29500255
20180216,249733809.94000137
20180323,299945996.82000035
20180327,262975651.75000128
20180418,286842416.2950023
20180731,342525532.50000566
20180315,276467636.02000177
20180416,254311825.7400013
20180523,280039464.65000194
20180201,251304884.24500096
20180311,332421167.7500044
20180316,248996475.26000124
20180328,257124695.46000072
20180513,381961011.5700051
20180619,315192375.190004
20180214,383521278.5100065
20180317,313882773.90000194
20180425,265385544.6816684
20180530,343179235.4000032
20180821,293337331.36000353
20180324,347865383.28500164
20180730,673740978.0500087
20180217,295847835.2500037
20180710,292361464.71000487
20180220,232727146.85
20180224,321877512.7300046
20180314,279754296.78000194
20180318,391008710.80000466
20180329,271430701.1400012
20180225,377856010.2450086
20180428,295777167.5600018
20180512,389529317.80500513
20180702,261159899.0200032
20180713,946774115.01994
20180304,334106395.555005
20180420,236614704.4500003
20180430,301758678.4700018
20180725,229244076.5300049
20180303,280342293.0650022
20180606,337413306.62000394
20180630,324597980.4250077
20180221,505535390.97001445
20180310,287618975.2500026
20180331,234155354.7699998
20180202,251674663.5400019
20180206,275307485.75000143
20180301,262791967.23000196
20180519,279660156.0600018
20180413,318965377.3400013
20180706,269926060.2400033
20180728,700565344.7999967
20180729,786274341.409996
20180506,332597981.1500044
20180514,341372817.63000315
20180515,297545436.2050035
20180620,441367874.38501215
20180806,247723225.3900019
20180527,346303825.1950021
20180417,308426434.3000047
20180627,286446893.180006
20180629,314019185.1600089
20180829,362603251.9000091
20180721,292961632.8150062
20180406,430598718.9700068
20180525,276210739.89000124
20180203,307409346.0650037
20180522,308780448.5600042
20180524,259478089.79000172
20180529,343041762.2800048
20180607,327497872.7400034
20180805,308309139.6437549
20180405,388653326.3400062
20180516,296370644.13000304
20180704,291032963.3800052
20180831,282771415.10000384
20180711,292356551.33000445
20180719,231586317.5400018
20180807,256210095.03000176
20180211,460016850.6100104
20180307,398672216.18000805
20180319,255754764.05000108
20180701,345931776.3450092
